,season,regSeasonRank,teamName,teamRecord,teamWinPct,teamPts,teamPtsLast,rank,owner
0,2015,1,Cream Team,12-2-0,.857,"2,431.55","2,140.66",1,Owen
1,2015,2,Chub Chub,9-5-0,.643,"2,229.16","2,016.58",2,John
2,2015,3,Quiggle On Your Face,8-6-0,.571,"2,027.67","2,028.15",3,Kevin
3,2015,4,Baby Get In Mah Belly,7-7-0,.500,"2,022.79","1,970.58",4,nickolai
4,2015,5,Mini Me I Love you Mini Me,6-8-0,.429,"2,004.90","2,051.97",6,Peter
5,2015,6,Tushek,5-9-0,.357,"2,057.11","2,152.72",7,zeyad
6,2015,7,The Pissed Beanbags,5-9-0,.357,"2,024.96","2,065.63",5,Ryan
7,2015,8,im gonna fiddle your diddle,4-10-0,.286,"1,842.36","2,214.21",8,Jake
8,2016,1,Buttplugs in Paradise,10-4-0,.714,"2,147.47","2,029.56",2,nickolai
9,2016,2,Blubber Caboose,9-5-0,.643,"2,168.83","2,011.77",4,zeyad
10,2016,3,The Little Pink Dinks,8-6-0,.571,"2,159.96","2,049.85",1,Ryan
11,2016,4,Cream Team IV,8-6-0,.571,"2,054.40","1,982.16",3,Owen
12,2016,5,The Whiskey Dicks,6-8-0,.429,"1,971.99","1,977.67",8,Peter
13,2016,6,Black People,6-8-0,.429,"1,832.97","1,966.78",7,Jake
14,2016,7,Hail to the Hairy One,5-9-0,.357,"2,017.69","2,089.96",5,Kevin
15,2016,8,Chub Chub,4-10-0,.286,"1,774.62","2,020.18",6,John
16,2017,1,Cream Team III,14-0-0,1.000,"2,414.56","1,744.60",1,Owen
17,2017,2,Chef Pussteau,8-6-0,.571,"1,849.00","1,906.78",4,Jake
18,2017,3,Gart Wars The Funder Awakens,7-7-0,.500,"1,931.37","1,890.09",2,Kevin
19,2017,4,Krusty Karpetmen,7-7-0,.500,"1,896.94","1,852.70",3,Ryan
20,2017,5,Wanky Panky,6-8-0,.429,"1,861.33","1,898.07",7,nickolai
21,2017,6,Lightning McFuck,6-8-0,.429,"1,887.82","2,096.77",8,zeyad
22,2017,7,Did Someone Order a Pwoof,5-9-0,.357,"1,862.97","2,082.34",6,Peter
23,2017,8,Chub Chub,3-11-0,.214,"1,725.08","1,957.72",5,John
24,2018,1,Bare Anus Tings,9-5-0,.643,"2,428.98","2,128.18",4,nickolai
25,2018,2,Lightning in a Garthole,9-5-0,.643,"2,378.49","2,145.13",3,Kevin
26,2018,3,Cream Team V,9-5-0,.643,"2,282.45","2,115.07",1,Owen
27,2018,4,The OTPHJ's,7-7-0,.500,"2,271.18","2,153.84",2,Ryan
28,2018,5,Who Keeps Flicking My Bean,7-7-0,.500,"2,185.87","2,199.37",6,Peter
29,2018,6,Footle My Tootle,6-8-0,.429,"1,836.07","2,052.60",5,Jake
30,2018,7,Netflix and Poop,5-9-0,.357,"1,999.65","2,126.45",7,zeyad
31,2018,8,Chub Chub,4-10-0,.286,"1,818.95","2,281.00",8,John
32,2019,1,WeSnatchee AppleCox,10-4-0,.714,"2,177.16","1,977.24",2,Ryan
33,2019,2,Footle My Tootle,8-6-0,.571,"2,264.59","2,078.03",3,Jake
34,2019,3,I Have A Cream,7-7-0,.500,"2,128.93","2,031.09",1,Owen
35,2019,4,FunderSnatch,7-7-0,.500,"2,002.83","2,234.43",4,Kevin
36,2019,5,Bing Bong,7-7-0,.500,"1,995.07","2,084.72",6,zeyad
37,2019,6,Bums Away,6-8-0,.429,"2,030.64","2,057.80",7,nickolai
38,2019,7,Woofy Doing Kevin Doggy,6-8-0,.429,"1,962.08","1,938.35",5,Peter
39,2019,8,Chub Chub,5-9-0,.357,"1,923.70","2,083.34",8,John
40,2020,1,Hackysack Millionaires,11-3-0,.786,"2,165.96","2,008.79",4,Peter
41,2020,2,Creamworks VII,9-5-0,.643,"2,336.90","2,083.55",2,Owen
42,2020,3,Washington Foreskins,9-5-0,.643,"2,332.06","1,993.14",3,Ryan
43,2020,4,Bing Bong,8-6-0,.571,"2,188.89","2,218.97",1,zeyad
44,2020,5,Munter Hunters,6-8-0,.429,"1,916.95","1,900.30",8,nickolai
45,2020,6,Chub Chub,5-9-0,.357,"1,927.14","1,996.62",7,John
46,2020,7,The Yoshinoya Beef Bowls,4-10-0,.286,"1,881.97","2,262.90",6,Kevin
47,2020,8,Footle My Tootle,4-10-0,.286,"1,863.86","2,149.46",5,Jake
48,2021,1,The Salty Quackers,11-4-0,.733,"2,535.18","2,146.14",4,Ryan
49,2021,2,Hemorrhoids On the Ass,11-4-0,.733,"2,513.96","2,183.70",3,zeyad
50,2021,3,The Poop Store,11-4-0,.733,"2,464.22","1,994.15",1,Jake
51,2021,4,Balls Galore Whorioles,8-7-0,.533,"2,090.42","2,218.27",2,Peter
52,2021,5,Krispy Cream Abdul Jabbar,7-8-0,.467,"2,126.87","2,208.65",6,Owen
53,2021,6,Peter is a nonce,6-9-0,.400,"2,165.21","2,352.28",5,nickolai
54,2021,7,Certified Baby Lover,4-11-0,.267,"2,185.89","2,475.11",7,Kevin
55,2021,8,Chub Chub,2-13-0,.133,"1,733.41","2,236.86",8,John
56,2022,1,Donkey Dick Revenge Tour,11-4-0,.733,"2,441.64","2,111.91",1,Kevin
57,2022,2,The Poop Store,11-4-0,.733,"2,330.13","2,179.84",2,Jake
58,2022,3,Habibi Love,9-6-0,.600,"2,247.33","2,084.64",4,zeyad
59,2022,4,Kevin in a Dress,8-7-0,.533,"2,163.64","2,253.44",3,Owen
60,2022,5,The Snart Garglers,8-7-0,.533,"2,147.45","2,174.00",8,Ryan
61,2022,6,bumfluffers,6-9-0,.400,"2,222.81","2,095.91",5,nickolai
62,2022,7,Rash on my Batman,4-11-0,.267,"1,962.29","2,259.27",7,Peter
63,2022,8,Chub Chub,3-12-0,.200,"1,978.47","2,334.75",6,John
64,2023,1,The Poop Store,10-5-0,.667,"2,375.75","1,963.25",1,Jake
65,2023,2,Donkey Dick Victory Tour,9-6-0,.600,"2,132.05","2,099.90",2,Kevin
66,2023,3,Ponzi Cream,9-6-0,.600,"2,217.73","2,092.10",4,Owen
67,2023,4,BayCocks,7-8-0,.467,"2,273.45","2,146.47",3,Ryan
68,2023,5,sticky toffee puttinurbum,7-8-0,.467,"2,016.95","2,115.99",6,nickolai
69,2023,6,Chub Chub,7-8-0,.467,"1,905.05","2,039.88",7,John
70,2023,7,Marhaba Marhaba,6-9-0,.400,"2,012.47","2,276.40",5,zeyad
71,2023,8,Got My Bean Flicked,5-10-0,.333,"2,058.89","2,258.35",8,Peter
72,2024,1,Shitting My Life Away,11-4-0,.733,"2,304.90","2,133.89",2,Zeyad
73,2024,2,Zeyads Uncles Fish,9-6-0,.600,"2,153.48","2,088.83",4,Ryan
74,2024,3,Supreme Cream,8-7-0,.533,"2,280.45","2,141.44",1,Owen
75,2024,4,Wipe Sultans,8-7-0,.533,"2,036.43","1,903.85",3,Peter
76,2024,5,Kevin in the Butt,7-8-0,.467,"2,163.83","2,182.49",7,Kevin
77,2024,6,The Poop Store,6-9-0,.400,"2,161.23","2,299.85",8,Jake
78,2024,7,Gordys Wankys,6-9-0,.400,"2,138.10","2,136.18",5,nickolai
79,2024,8,Chub Chub,5-10-0,.333,"1,781.09","2,132.98",6,John
